date,neer,ktb_1y,ktb_10y,kospi,cycle_raw,policy_raw,trade_raw,risk_raw,cycle,policy,trade,risk,cycle_z,policy_z,trade_z,risk_z,n_themes,macro_sign,macro_z
2017-04-19,103.59791545458434,1.46,2.144,2138.4,-0.11148400953850765,0.05499999999999994,0.039077194940732696,-0.08572677565818804,-1.0,1.0,1.0,-1.0,-1.0,0.18567987683081763,,-0.5270709135350908,4,0.0,-0.44713034556809106
2017-04-20,103.5696128541719,1.465,2.144,2149.15,-0.11148400953850765,0.03599999999999981,0.03175937785616867,-0.09621447494549906,-1.0,1.0,1.0,-1.0,-1.0,0.12145241013428078,,-0.5906101079035437,4,0.0,-0.4897192325897543
2017-04-21,103.44825500357338,1.475,2.165,2165.04,-0.11148400953850765,0.03499999999999992,0.02318894501302271,-0.09550226167480902,-1.0,1.0,1.0,-1.0,-1.0,0.11799688625891867,,-0.5853473440738765,4,0.0,-0.48911681927165257
2017-04-24,103.78689040348226,1.486,2.205,2173.74,-0.11148400953850765,0.02299999999999991,0.026769463059507892,-0.10574684431597661,-1.0,1.0,1.0,-1.0,-1.0,0.07746457487249651,,-0.6468063091261347,4,0.0,-0.5231139114178794
2017-04-25,104.17817264120104,1.477,2.194,2196.85,-0.11148400953850765,0.02200000000000002,0.0340586722226881,-0.11566867075543179,-1.0,1.0,1.0,-1.0,-1.0,0.07402347802581691,,-0.7056537432000878,4,0.0,-0.5438767550580903
2017-04-26,104.36853973690994,1.478,2.207,2207.84,-0.11148400953850765,0.014000000000000012,0.04251100169484623,-0.12038033570218976,-1.0,1.0,1.0,-1.0,-1.0,0.0470503835183575,,-0.7323137061974849,4,0.0,-0.5617544408930425
2017-04-27,104.96584021779518,1.472,2.196,2209.46,-0.11148400953850765,0.020000000000000018,0.04976651838196844,-0.12273045491726173,-1.0,1.0,1.0,-1.0,-1.0,0.06714825314701003,,-0.7444259123372008,4,0.0,-0.5590925530633969
2017-04-28,104.60280190559072,1.47,2.196,2205.44,-0.11148400953850765,0.017000000000000126,0.043028216688918874,-0.12891496299636968,-1.0,1.0,1.0,-1.0,-1.0,0.057016297573016135,,-0.7793897267070438,4,0.0,-0.5741244763780092
2017-05-02,104.24641322794548,1.469,2.236,2219.67,-0.08589458381981085,0.016999999999999904,0.040371107465760225,-0.14250064179886585,-1.0,1.0,1.0,-1.0,-0.859499407702435,0.05695801531194881,,-0.8579889807772172,4,0.0,-0.5535101243892345
2017-05-04,104.5626058060866,1.463,2.211,2241.24,-0.08589458381981085,0.028000000000000025,0.040597970994944,-0.15718721963018875,-1.0,1.0,1.0,-1.0,-0.857699519193742,0.09374570258667315,,-0.9416116258309452,4,0.0,-0.5685218141460047
